Stock_ID,Item_Name,Category,Quantity_Available,Restock_Threshold,Purchase_Cost,Selling_Price,Date_Added,Supplier,Defective_Stock
5849.0,Brass Khutti,Others,589.0,5.0,54.0,75.6922618411945,2024-10-01,Veeran Gowda (Karnataka),2.0
5277.0,Tower Bolt,Handles,930.0,30.0,706.0,1054.51468636785,2024-10-01,Iyer (Chennai),6.0
4971.0,Tower Bolt,Accessories,147.0,50.0,395.0,571.441872582862,2024-10-01,Tiwary (Mumbai),15.0
2844.0,Decorative Kadi,Knob,872.0,100.0,909.0,1405.92371322357,2024-10-01,Veeran Gowda (Karnataka),4.0
3029.0,Kadi Deluxe,Handles,154.0,100.0,334.0,554.542510319283,2024-10-01,Amrit Singh (Punjab),3.0
2528.0,Kadi Deluxe,Knob,118.0,30.0,954.0,1859.39994227563,2024-10-01,Veeran Gowda (Karnataka),9.0
2527.0,Tower Bolt,Kadi,562.0,100.0,182.0,324.879604810139,2024-10-01,Rahul (AP),12.0
1053.0,Profile Handle,Kadi,326.0,15.0,558.0,824.882522460791,2024-10-01,Shukla (Gujarat),2.0
5806.0,Economy Kadi,Others,525.0,20.0,681.0,1341.73034459541,2024-10-01,Abdul Khan (Hyderabad),2.0
1062.0,Khutti,Accessories,92.0,5.0,895.0,1434.0378336546,2024-10-01,Shukla (Gujarat),7.0
3281.0,Ultra Modern Handle,Accessories,770.0,30.0,632.0,905.111437579125,2024-10-01,Tiwary (Mumbai),15.5
4626.0,Profile Handle,Knob,207.0,100.0,873.0,1740.03980196358,2024-10-01,Shukla (Gujarat),9.0
2760.0,Sofa Leg,Knob,26.0,20.0,533.0,861.671978829448,2024-10-01,Tiwary (Mumbai),15.5
1079.0,Gold Plated Handle,Handles,655.0,5.0,433.0,820.597470074308,2024-10-01,Abdul Khan (Hyderabad),4.0
3257.0,Sofa Leg,Knob,212.0,100.0,231.0,444.64169966786,2024-10-01,Rahul (AP),15.5
4314.0,Brass Khutti,Accessories,160.0,30.0,279.0,549.08915080864,2024-10-01,Abdul Khan (Hyderabad),9.0
2087.0,Tower Bolt Premium,Knob,52.0,10.0,111.0,204.333757893048,2024-10-01,Venkatesh Gopal (Telangana),5.0
4169.0,Designer Knob,Handles,129.0,10.0,809.0,1511.52976520283,2024-10-01,Amrit Singh (Punjab),7.0
1601.0,Antique Handle,Accessories,427.0,15.0,508.0,770.253120061062,2024-10-01,Shukla (Gujarat),3.0
1687.0,Kadi Deluxe,Kadi,238.0,20.0,688.0,1065.45364314806,2024-10-01,Hameesh (Kerala),2.0
5054.0,Profile Handle,Kadi,350.0,30.0,103.0,201.225752893418,2024-10-01,Iyer (Chennai),1.0
2189.0,Brass Khutti,Accessories,777.0,10.0,430.0,752.611768170444,2024-10-01,Rajavardhan (Chennai),0.0
1826.0,KH-1239,Accessories,962.0,20.0,645.0,1067.65100839966,2024-10-01,Veeran Gowda (Karnataka),4.0
4138.0,Kadi Deluxe,Accessories,19.0,15.0,440.0,642.862043971812,2024-10-01,Abdul Khan (Hyderabad),5.0
1741.0,Traditional Handle,Others,54.0,30.0,407.0,575.526045363732,2024-10-01,Tiwary (Mumbai),15.5
2677.0,KH-1239,Knob,250.0,50.0,847.0,1349.74352094773,2024-10-01,Rahul (AP),15.5
5584.0,KH-1239,Accessories,542.0,20.0,388.0,588.978583519051,2024-10-01,Hameesh (Kerala),2.0
4739.0,Traditional Handle,Kadi,515.1638406537282,15.0,882.0,1334.09684688994,2024-10-01,Abdul Khan (Hyderabad),3.0
2394.0,Main Door Handle,Handles,262.0,10.0,250.0,377.188843400898,2024-10-01,Rahul (AP),0.0
3920.0,Sofa Leg,Kadi,773.0,10.0,782.0,1156.02419448267,2024-10-01,Abdul Khan (Hyderabad),1.0
4466.0,Designer Knob,Kadi,555.0,20.0,116.0,189.570034618914,2024-10-01,Iyer (Chennai),4.0
