Sale_ID,Stock_ID,Item_Name,Category,Sale_Quantity,Sale_Price,Discount,Date_Sold,Customer_Region,Return_Status,Total_Revenue
7390.0,3390.0,Cross Knob,Others,45.0,1011.56,0.0,2024-10-01,Central,No,45520.37
5450.0,1450.0,Traditional Handle,Others,48.0,1872.89,0.0,2024-10-01,North,No,89898.68
8358.0,4358.0,Gold Plated Handle,Accessories,10.0,1760.1,15.0,2024-10-01,South,No,14960.81
7391.0,3391.0,Gold Plated Handle,Accessories,10.7999999999999,2207.09,15.0,2024-10-01,North,No,20261.12
7382.0,3382.0,Kadi Deluxe,Knob,1.0,1714.02,10.0,2024-10-01,East,No,1542.62
7360.0,3360.0,Decorative Kadi,Accessories,34.0,1810.71,0.0,2024-10-01,East,No,61564.31
9498.0,5498.0,Tower Bolt Premium,Knob,21.0,1931.68,5.0,2024-10-01,Central,No,38536.95
6946.0,2946.0,Cross Knob,Kadi,45.6,1067.82,15.0,2024-10-01,North,No,41388.54
9644.0,5644.0,Economy Kadi,Knob,27.0,2735.27,20.0,2024-10-01,South,No,59081.81
8996.0,4996.0,Tower Bolt,Accessories,30.0,1475.1,5.0,2024-10-01,East,No,42040.23
7663.0,3663.0,Brass Khutti,Handles,20.0,731.44,20.0,2024-10-01,West,No,11703.04
7339.0,3339.0,Tower Bolt Premium,Others,1.0,2578.84,0.0,2024-10-01,West,No,2578.84
7862.0,3862.0,Cross Knob,Kadi,47.0,2880.15,20.0,2024-10-01,Central,No,108293.49
8062.0,4062.0,Khutti,Kadi,7.0,2303.69,20.0,2024-10-01,South,No,12900.68
7922.0,3922.0,KH-1239,Knob,24.0,2877.73,0.0,2024-10-01,North,No,69065.44
9066.0,5066.0,Ultra Modern Handle,Accessories,45.0,1745.6569723643809,20.0,2024-10-01,East,No,43895.309921192755
5576.0,1576.0,Designer Knob,Knob,32.0,1510.78,5.0,2024-10-01,Central,No,45927.74
8569.0,4569.0,Khutti,Handles,10.7999999999999,2044.35,20.0,2024-10-01,North,No,17663.19
7252.0,3252.0,Key Stand,Knob,0.0,696.96,0.0,2024-10-01,North,No,0.0
6312.0,2312.0,Key Stand,Handles,16.0,1218.38,10.0,2024-10-01,East,No,17544.73
9143.0,5143.0,Profile Handle,Accessories,45.0,1573.03,10.0,2024-10-01,West,No,63707.59
7452.0,3452.0,Khutti,Accessories,5.0,2994.24,20.0,2024-10-01,West,Yes,11976.96
7903.0,3903.0,Tower Bolt Premium,Handles,36.0,1574.54,15.0,2024-10-01,East,No,48181.05
6302.0,2302.0,Key Stand,Kadi,4.0,1896.81,10.0,2024-10-01,East,No,6828.51
7572.0,3572.0,Traditional Handle,Accessories,22.0,1863.94,5.0,2024-10-01,Central,No,38956.26
9547.0,5547.0,Key Stand,Others,15.6,2098.35,5.0,2024-10-01,North,No,31097.5
5627.0,1627.0,Gold Plated Handle,Knob,10.0,2807.86,5.0,2024-10-01,Central,No,26674.67
6223.0,2223.0,Ultra Modern Handle,Accessories,52.8,711.69,15.0,2024-10-01,North,Yes,31940.66
8283.0,4283.0,Ultra Modern Handle,Knob,2.0,2890.57,5.0,2024-10-01,West,No,5492.07
7176.0,3176.0,Tower Bolt,Accessories,15.0,2930.65,10.0,2024-10-01,West,No,39563.77
5039.0,1039.0,Main Door Handle,Kadi,7.0,1765.93,5.0,2024-10-01,Central,No,11743.43
5845.0,1845.0,Khutti,Accessories,20.0,2154.79,10.0,2024-10-01,East,No,38786.3
9633.0,5633.0,Economy Kadi,Kadi,8.0,2825.64,15.0,2024-10-01,East,No,19214.32
5831.0,1831.0,Key Stand,Handles,47.0,986.57,10.0,2024-10-01,Central,No,41732.09
